Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
Goodbox,Angel Investor,Sandeep Singhal,Director at Goodbox,,https://www.linkedin.com/in/sandeep-singhal-604499/,,,"SaaS, Mobility, Agritech","Fasal, Neend, Ultrahuman, Stanplus",Director at Goodbox & Manging Director at Nexus Venture Partners.
Freecharge,Angel Investor,Sandeep Tandon,Co-founder at Freecharge,,https://www.linkedin.com/in/satandon/,https://twitter.com/sandeepmtandon,$1M - $3M,"Fintech, SaaS, HealthTech, Edtech","Razorpay, Inc42, Tablehero, Unacademy, Fabelio, Remitware Payments, Pocket Aces, Ziploan","Sandeep Tandon is a prominent figure in the Indian business and investment community. He serves as a member of the Board of Directors at CRED, a partner at Whiteboard Capital, and a member of the Board of Advisors at Iron Pillar. Sandeep Tandon is also the Chief Business Officer at Accelyst Solutions Pvt. Ltd. and the Managing Director of Tandon Technology Ventures. Additionally, he holds key positions at Infinx Services Private Limited and Infinx Healthcare as Chairman and Managing Director."
MAIA Intelligence,Angel Investor,Sanjay Mehta,Founder at MAIA Intelligence,,https://www.linkedin.com/in/mehta-sanjay/,https://twitter.com/mehtasanjay,Up to $1M,"SaaS, Consumer, HealthTech","Loginext, Lawrato, OYO, Box8, Orange Scape, Fab Alley","Sanjay Mehta, an angel investor based in Mumbai, has established a notable presence in the investment landscape. His prominent investment areas include consumer products, fintech, media, and entertainment. Sanjay has made strategic investments in startups such as Bugbase, Karnival, Coindcx, and many others, contributing to the growth and success of innovative ventures in various industries. With his expertise and financial support, he plays a pivotal role in nurturing and guiding these startups towards their goals."
Fitso,Angel Investor,Saurabh Aggarwal,Co-founder at Fitso,,https://www.linkedin.com/in/saurabh-aggarwal-86426723/,,75L - 3 Cr,"Fintech, Edtech, SaaS, Media","Paavan, Kohbee, Reevoy, Soptle","Saurabh Aggarwal, a dynamic Angel Investor located in Gurugram, is actively engaged in funding promising startups primarily in the Hardware and Technology, Commerce and Shopping, and Consumer Products sectors. With a discerning eye for innovative ventures, he maintains a diverse portfolio that includes investments in Soptle, Intellemo, Paavan, and several other emerging companies. As an Angel Investor, Saurabh plays a vital role in the startup ecosystem by providing crucial financial support, mentorship, and guidance to early-stage companies. His focus on Hardware and Technology, Commerce and Shopping, and Consumer Products sectors highlights his belief in the transformative potential of these industries. Saurabh's passion for identifying and nurturing promising ventures underscores his commitment to fostering innovation and driving positive change. By actively supporting startups in their growth journey, he contributes to the development of cutting-edge technologies, disruptive business models, and creative solutions that cater to the needs of the modern world. His investments range between $90k to $350k"
NoBroker.com,Angel Investor,Saurabh Garg,Founder and CBO at NoBroker.com,,https://www.linkedin.com/in/saurabh-garg-8876171/,,,"AI/ML, Fintech, Edtech","Betterhalf, Skillbee, Masai School, NoBroker","Saurabh Garg stands as an influential Angel Investor hailing from the vibrant city of Bengaluru, distinguished by his strategic investments that fuel innovation and growth. With a discerning eye for potential, Saurabh's investment interests encompass a wide spectrum of sectors, including Professional Services, Health-Tech, and Business Support Services. His contributions to the startup ecosystem have played a pivotal role in propelling groundbreaking ventures forward. Notable among his investments are pioneering startups such as Getwork, Dawaa Dost, Getsupp, and an additional seven innovative enterprises. Saurabh Garg's investment choices are a testament not only to his insightful understanding of emerging market dynamics but also his commitment to nurturing the evolution of startups. Beyond providing financial backing, he leverages his experience, expertise, and expansive network to actively contribute to the growth and success of the startups he supports. Within the dynamic entrepreneurial landscape of Bengaluru, Saurabh Garg's role as an Angel Investor reflects his dedication to fostering innovation and driving positive change. His involvement across sectors like Professional Services, Health-Tech, and Business Support Services underscores his commitment to advancing industries critical to modern business landscapes. Through his investments in startups like Getwork, Dawaa Dost, Getsupp, and others, Saurabh Garg solidifies his reputation as a pivotal figure in the startup ecosystem. His contributions extend beyond capital infusion, as he actively guides startups with the resources and mentorship they require to navigate the intricate journey of growth, enabling them to thrive as influential players within their respective domains."
"PaySense, India",Angel Investor,Sayli Karanjkar,"Cofounder & CBO at PaySense, India",,https://www.linkedin.com/in/sayalikaranjkar/,https://twitter.com/sayalikaranjkar,,"Fintech, SaaS","Zorp, Flobiz, Wint wealth, Zimyo","Sayali is extremely passionate about building in India for the world and mentors several founders on their entrepreneurial journey. She is now an active angel investor and advisor to several startups in the fintech, SaaS and AI space in India, SEA and the US. She is on the Board of CMS Info Systems Sayali is the CoFounder of Paysense, a leading consumer lending company where she led the Business, Growth and Operations functions. Paysense got acquired by PayU, a leading payments and Fintech company in an all cash deal for an equity value of $185 million. She was the Chief Business Officer of PayU Credit India post this merger. After a successful integration of the teams and the business, Sayali has exited the company. Prior to Paysense Sayali spent 15+ years in US and Singapore building and executing strategies for leading consumer and retail companies in the US with Sun Microsystems in Singapore, AT&T in California and with AT Kearney in Chicago."
Seeders,VC,Pallav Nadhani,Managing partner at Seeders,https://www.seeders.in/,https://www.linkedin.com/in/pallavn/,https://twitter.com/seedersin,,"AI/ML, Fintech, HealthTech, Consumer","Insuremile, Metadome, Sanfe","Seeders is a syndicate led by successful first-generation entrepreneurs from diverse business backgrounds. The syndicate is a high-impact network created by founders for founders. Seeders aims to bring together great startups and investors to co-invest through syndicates. Seeders' founders have a deep understanding of the startup ecosystem and a passion for helping other entrepreneurs succeed. The syndicate's network of investors includes a wide range of individuals and institutions, from angel investors to venture capital firms. Seeders' investment process is designed to be efficient and effective. The syndicate's team of experts evaluates potential investments and identifies the best opportunities for co-investment. Seeders also provides its portfolio companies with access to a wide range of resources and support, including capital, mentorship, and advice. Seeders is committed to helping startups succeed. The syndicate believes that by bringing together great startups and investors, it can help to create a more vibrant and dynamic startup ecosystem."
Sequoia/Surge (India),VC (Tier 1),Kaustubh Mundra,Investment Team at Sequoia/Surge (India),https://www.sequoiacap.com/india/,https://www.linkedin.com/in/kaustubhmundra3/,https://twitter.com/kaustubhmundra3,$1M - $3M,"Fintech, SaaS, HealthTech, Consumer","JustDial, Zomato, Practo, Groupon etc.","Sequoia Capital is a renowned venture capital firm with a broad investment focus across various sectors. With expertise in incubation, seed stage, start-up stage, early stage, and growth stage investments, Sequoia Capital has a proven track record of backing both public and private companies. The firm's investment portfolio spans diverse industries, including energy, financial, enterprise, healthcare, internet, and mobile startups. With a keen eye for identifying promising opportunities, Sequoia Capital plays a vital role in nurturing and supporting the growth of innovative businesses at different stages of development. The typical check size ranges from $500k to $1 million."
iSpirit Foundation,Angel Investor,Sharad Sharma,Co-founder at iSpirit Foundation,,https://www.linkedin.com/in/sharadsharma/?originalSubdomain=in,https://twitter.com/sharads,$3M - $6M,"Fintech, Edtech, SaaS, Consumer","Ezetap, Adda, Enrich video, Mypoolin, Minjar","Sharad is a highly experienced leader with an impressive career spanning over three decades in the Internet, Enterprise Software, and Digital Infrastructure sectors. He is a prominent figure in India's technology ecosystem and has played a vital role in the growth of notable companies such as Yahoo, VERITAS Software, Symantec, Lucent Technologies, and AT&T. Sharad is also a co-founder of iSPIRT Foundation, a non-profit technology think tank focused on advancing India's software product industry. As an angel investor, he has made significant investments in technology startups and has been involved in establishing India's first IP-focused fund, India Innovation Fund. Sharad's expertise and contributions have been recognized through prestigious awards, including the R&D Visionary Award by Zinnov."
BharatPe,Angel Investor,Shashvat Nakrani,Founder at BharatPe,,https://www.linkedin.com/in/shashvat-nakrani/,,-,"Fintech, SaaS, Consumer","Stage3, Crib, Dezerv, Liquide","Shashvat Nakrani, a renowned Indian Angel Investor and Entrepreneur, co-founded the fintech startup BharatPe. He is an alumnus of the prestigious Indian Institute of Technology Delhi (IITD). Shashvat's achievements have earned him a place in the IIFL Wealth Hurun India Rich List as the youngest member and among the 13 self-made billionaires born in the 90s."
Swadharma Source Ventures - SSV,Angel Investor,Shrishti Sahu,Managing partner & Angel investor at Swadharma Source Ventures - SSV,,https://www.linkedin.com/in/shrishtii/,https://twitter.com/shrishtie?lang=en,$3M - $6M,"Fintech, Edtech, SaaS, Consumer, Media","Chingari, Growthschool, WYLD, Rupifi, Weskill, Leapclub","Shrishti Sahu, an angel investor hailing from Gurugram, focuses on strategic investments in transportation and logistics, hardware and technology, and apps. Her investment portfolio includes startups like Leap.Club, Wyld, Eximpe, and many more. Shrishti plays a vital role in supporting and nurturing these ventures, contributing to their success and development."
Together,Angel Investor,Shubham Gupta,Founder at Together,,https://www.linkedin.com/in/shubg87/,https://twitter.com/shubg,,"AI/ML, Edtech, Consumer","Testbook, Bobble.ai, Doormint, Rapidbox","Engaged in SAAS/Deeptech Investments with Matrix, Shubham Gupta has successfully closed two exciting seed deals, although the specifics remain undisclosed. Shubham Gupta's prior ventures are welldocumented in his profile below. With a notable track record, Shubham Gupta has acted as an Angel Investor in prominent ventures such as ZoomCar, Ixigo, Mobile Premier League (MPL), StashFin, Locus, Testbook, Trell, Posist, Kristal, Purple Style Labs, GoComet, Adpushup, Bobble, GramFactory, Mall91, Pesto, Superhuman, Brave Browser, and Madison Reed. His affinity for startups stems from a desire to help founders and continuously learn from their journeys, a passion that has brought him back to India."
Sixth sense ventures,VC,Ketki Paranjpe,Partner (investments) at Sixth sense ventures,https://sixthsenseventures.com/,https://www.linkedin.com/in/ketki-paranjpe-18966a4/,,10-20 cr,"HealthTech, Edtech, SaaS, Mobility, Consumer, Media","Cultfit, Bira 91, DesignCafe, Neemans","Sixth Sense Ventures is India's first domestic, consumer-centric venture fund. The firm was founded by Nikhil Vora, who is regarded as one of the strongest analytical minds in the country. Sixth Sense Ventures invests in early-stage consumer-focused startups that have the potential to disrupt traditional industries and create new markets. The firm believes that the next big wave of dysfunctional growth will be led by entrepreneurs driven by completely different skill sets and capabilities, and not necessarily capital. These entrepreneurs will be able to leverage technology to create new products and services that meet the needs of a changing consumer landscape. Sixth Sense Ventures has a strong track record of identifying and backing successful startups. The firm has invested in a number of startups that have gone on to achieve significant success, including Pepperfry, Urban Ladder, and FirstCry. Sixth Sense Ventures is committed to helping startups succeed, and is a valuable resource for entrepreneurs who are looking to disrupt traditional industries and create new markets."
Social Alpha,VC (Tier 3),Ajinkya Waradpande,Portfolio Manager at Social Alpha,https://www.socialalpha.org/,https://www.linkedin.com/in/ajinkyawaradpande/,https://twitter.com/ajinkya_w?lang=en,$1M - $3M,"HealthTech, Consumer","Bionic yantra, Blee, Canvaloop, Ecowarp, Design alpha, Kamal Kisan.","Social Alpha is a Bengaluru-based venture capital firm that specializes in investing in innovative startups focused on AI and ML, Agritech and Farming, and Clean-Tech sectors. With a strong portfolio of investments, including companies like Agrograde, Ai Health Highway, and Canvaloop Fibre, Social Alpha is committed to supporting transformative ideas and technologies. They play a vital role in nurturing and scaling early-stage startups in these domains, contributing to sustainable and impactful solutions. Social Alpha's investments reflect their dedication to fostering innovation and driving positive change in sectors critical to social and environmental development."
AngelBay,Angel Investor,Sorabh Agarwal,Co-founder at AngelBay,,https://www.linkedin.com/in/sorabh-agarwal-52277a1,,,"Fintech, Consumer, Media","Navia Lifecare, Automovill, Gostops","Sorabh Agarwal, one of the Co-Founders of AngelBay, brings a wealth of expertise in M&A and financial research to the table. As a key figure leading a private angel network, Sorabh's strategic advisory services offer invaluable guidance to startups and mid-sized firms, elevating their growth and success trajectory."
Swiggy,Angel Investor,Sriharsha Majety,CoFounder & Chief Executive Officer at Swiggy,,https://www.linkedin.com/in/sriharsham563aa217/?ref=ynos.in,https://twitter.com/harshamjty?ref=ynos.in,,"Fintech, SaaS, Consumer","Cred, Headout, Blissclub","Sriharsha Majety holds the position of CoFounder and CEO at Swiggy. Before his involvement with Swiggy, he cofounded Bundl and worked as an Associate at Nomura International. Mr. Majety completed his academic journey with a B.E. in Electrical and Electronics and an M.Sc. in Physics from Birla Institute of Technology and Science, Pilani."
Zetwerk,Angel Investor,Srinath Ramakkrushnan,CoFounder at Zetwerk,,https://www.linkedin.com/in/srinathramakkrushnana658629/,https://twitter.com/srinathramki,,"Mobility, Consumer, Agritech","Agrizy, Frigate, Procol, Lobb, Ximkart","Srinath Ramakkrushnan, an Angel Investor based in Bengaluru, stands as a notable figure in the investment arena. His strategic focus encompasses Hardware and Technology, Food and Beverage, and Information Technology sectors. His investments have made a significant impact on startups such as Ximkart, Procol, 1K Kirana Bazaar, and four other notable ventures."
"Spark TV, India",Angel Investor,Srinivas Anumolu,"Promoter at Spark TV, India",,https://www.linkedin.com/in/srinirai/?ref=ynos.in,https://twitter.com/srinirai?ref=ynos.in,,"AI/ML, Fintech, Edtech, SaaS, Mobility, Consumer, Media","Freshmenu, Vogo, Windo, Crejo","Srinivas Anumolu is a distinguished Indian Entrepreneur and Angel Investor known for his involvement in a diverse range of ventures. His impressive portfolio comprises several notable companies that have made a significant impact in various sectors. Among the companies he's associated with are Upwork, TutorVista, BigBasket, BlueStone, Portea, FreshMenu, HomeLane, HungerBox, Verloop, OTO, Arzooo, Newton, SuperK, Homingos, Stage, MediBuddy, BatterySmart, Euler, and DealShare. Upwork is an internationally recognized online platform that connects freelancers with clients seeking various services, contributing to the growth of the gig economy. TutorVista is an educational platform that offers online tutoring services, facilitating accessible and personalized learning experiences. BigBasket is a prominent online grocery delivery platform that has revolutionized the way people shop for groceries. BlueStone is a renowned online jewelry store that offers a wide range of exquisite jewelry pieces. Portea is a leading healthcare service provider, focusing on home healthcare solutions."
SucSEED ventures,VC,Gitali Turlapati,Portfolio Management at SucSEED ventures,https://www.sucseed.biz/,https://www.linkedin.com/in/gitali-turlapati-228026229/,https://twitter.com/SucSEED_IN,,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media","Niki. ai, speedlabs, Stockal,  Paymatrix","SucSEED Venture Partners is a venture capital firm that was founded in 2016 by a group of CXOs, technology angels, business leaders, and serial entrepreneurs. The firm's investment strategy is primarily targeted at growth stage, post-revenue startups that are involved in innovation for mass or use cases with real problem statements using emerging technology. SucSEED looks for startups that are led by strong teams with a clear vision for the future. The firm also seeks out startups that are operating in markets with large addressable audiences. In addition to providing capital, SucSEED also offers startups access to mentors, market connections, and leadership practices. The firm has a strong track record of identifying and backing high-potential startups. Some of the startups that SucSEED has invested in include Uniplatform Tech, MultiplyMyLeads, and Letsbuy. SucSEED is committed to helping startups succeed and is a valuable resource for entrepreneurs who are looking for capital and support."
BharatPe,Angel Investor,Suhail Sameer,CEO at BharatPe,,https://www.linkedin.com/in/suhail-sameer-8226865/?originalSubdomain=in,https://twitter.com/suhailsameer14?lang=en,$3M - $6M,"Fintech, HealthTech, Consumer, Digital Entertainment, Media","Apnaklub, Liquide, Locofast, White.inc, Glip","Suhail Sameer holds key positions in various organizations. Currently, he serves as the Group President at BharatPe, a leading financial technology company. In addition, Suhail is the Managing Partner at OTP Venture Partners and also holds the role of President at RP-Sanjiv Goenka Group, where he contributes his expertise in driving growth and strategic initiatives."
Udaan,Angel Investor,Sujeet Kumar,Founder at Udaan,,https://www.linkedin.com/in/sujeet-kumar-90039b16/,,,"AI/ML, Fintech, Edtech, SaaS, Mobility, Consumer, Media","Crejo fun, Flash, Ultrahuman, Turnip, Airblack, EkaCare","Sujeet Kumar, one of the co-founders of udaan, played a pivotal role in the establishment of the company in 2016. He embarked on this entrepreneurial journey alongside Vaibhav Gupta and Amod Malviya, both of whom held high-ranking positions at Flipkart in the past. Before venturing into udaan, Sujeet Kumar held the position of President of Operations at Flipkart, where he spearheaded the development of operational strategies, supply chain management, and logistics systems, contributing to over fifty percent of Flipkart's total sales. His efforts were crucial in laying down the foundational framework for India's ecommerce distribution network, cementing his influence in shaping the industry's landscape."
Graphy,Angel Investor,Sumit Jain,Co-Founder & CEO at Graphy,,https://www.linkedin.com/in/sumjain/?ref=ynos.in,https://twitter.com/sumjain?ref=ynos.in,Up to $1M,"Fintech, HealthTech, Edtech, SaaS, Consumer","Airmeet, Salarybox, Tring, unacademy, Parentlane","Sumit Jain is a notable Angel Investor based in Bengaluru. He focuses on investing in startups operating in the areas of sports, transportation and logistics, and manufacturing. Some of the startups that Sumit Jain has invested in include Fixcraft, Admitkard, Salarybox, and several others."
Stealth startup,Angel Investor,Surojit Chatterjee,CEO & Founder at Stealth startup,,https://www.linkedin.com/in/surojitchatterjee/,,,"Fintech, SaaS, Consumer","Clear, Juno, Videoken, NFTically","Chatterjee spent more than 11 years at Google over two stints, the first as a founding member of Googles mobile search Ads product thats grown to tens of billions in revenue per year. When he starts at Coinbase next week, Armstrong tells me hell help Coinbase organize its complex array of products, including its cryptocurrency exchange, wallet, stablecoin. He's MBA from MIT Sloan School of Management and B. Tech (Honors) from Indian Institute of Technology, Kharagpur."
White Venture Capital,Angel Investor,Sweta Rau,Founder and GP at White Venture Capital,,https://www.linkedin.com/in/sweta-rau-0b642210/?ref=ynos.in,https://twitter.com/swetarau?lang=en,$3M - $6M,"Fintech, HealthTech, Edtech, SaaS, Consumer","Pankhuri, Tyke, Payglocal, Onecode,","Sweata Rau is a highly regarded angel investor with a strong background in technology and business management. With experience working with leading software services companies and as a freelance consultant, Sweata has gained valuable industry knowledge. She has expertise in cutting-edge technologies like Big Data, Business Intelligence, E-Commerce, and web, along with exposure to the finance and telecom sectors."
"Manipal Global Education, (Former Director, Infosys)",Angel Investor,T.V. Mohandas Pai,"Chairman at Manipal Global Education, (Former Director, Infosys)",,https://www.linkedin.com/in/mohandaspai/,https://twitter.com/TVMohandasPai?s=20&t=Utg2tELgDDm0XQHTl7S9OA,$1M - $3M,"SaaS, Consumer, Media","Zoomcar, Zimmber, YourStory, FairCent, Kaaryah","Mohandas Pai, a Padma Shri Awardee and former CFO of Infosys, is a prominent figure in the corporate world. He co-founded Akshaya Patra, the world's largest midday meal program, and actively contributes to policy recommendations and guidelines in collaboration with government and regulators. As an esteemed angel investor, Mohan has initiated over 10 funds in venture, growth, and public markets. He also leads Aarin Capital, a private equity fund focused on life sciences and education investments, alongside Manipal Group Chairman Ranjan Pai. Notable companies in their portfolio include Byju's, Counsyl, ZoomCar, Praxify, YourStory, and Licious."
Techstars,VC (Tier 3),Vinoj Raj,Investment Analyst at Techstars,https://www.techstars.com/,https://www.linkedin.com/in/vinoj-raj-950b6313a/,,Up to $1M,"Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Media","Docsumo, Lightwing, Recotap. Pixxel","Techstars is a global ecosystem that provides support and investment to entrepreneurs who are developing innovative technologies. They offer mentorship-driven accelerator programs and a wide range of startup programs across the globe. Techstars is committed to assisting promising entrepreneurs at every stage of their journey, from the initial inspiration to the eventual goal of an IPO (Initial Public Offering). By offering resources, guidance, and connections, Techstars aims to empower entrepreneurs and help them bring their new technologies to market, regardless of their geographical location."
The Chennai Angels,VC,Darshan Kumar,AVP at The Chennai Angels,https://www.thechennaiangels.com/,https://www.linkedin.com/in/darshan-kumar-ba1748130/,https://twitter.com/angelschennai,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Media, Agritech","Trulymadly, Puplle, Vimana, Dropshop","One of India's foremost Angel Networks. Fostering Entrepreneurship. Mentoring Entrepreneurs. Nurturing Ambitions. The Chennai Angels (TCA), formerly known as Chennai Entrepreneurship Trust Fund, was established in November 2007 with the objective of fostering Entrepreneurship with prime focus on nurturing and mentoring new generation entrepreneurs. Aspiring entrepreneurs with innovative business ideas often fumble to translate thoughts into commercially viable ventures. These teething troubles could be attributed to inadequate awareness in taking the ideas forward or paucity of funds."
Together,VC (Tier 2),Dushyant Mishra,Early stage investor at Together,https://together.fund/,https://www.linkedin.com/in/idushyantmishra/,https://twitter.com/mddushyant?lang=en,$1M - $3M,SaaS,"Toplyne, Spendflo, Insightly, Bytebeam","Together Fund is an early-stage venture capital firm that prioritizes investing in technology companies led by founders. They support and empower entrepreneurs who are driving innovation and disruption in the tech industry. Some notable startups that Together Fund has invested in include Workhack, Kula, Toplyne, and Spry. With their expertise and capital, Together Fund aims to fuel the growth and success of these startups, enabling them to realize their potential and make a meaningful impact in their respective markets."
Tomorrow Capital,VC (Tier 1),Ashish Purohit,Investment Team at Tomorrow Capital,http://www.tomorrowcapital.in/,https://www.linkedin.com/in/cs-ca-ashish-purohit-00823335/,https://twitter.com/ashish0689?lang=en,$1M - $3M,"Fintech, SaaS, HealthTech, Edtech","ZenoHealth, LeverageEdu, BeyondSkool, Easiloan, Bonito","Tomorrow Capital is a Mumbai-based Venture Capital Firm established in 2017. With a focus on fostering innovation and growth, Tomorrow Capital actively invests in startups operating in diverse sectors such as Apps, Commerce and Shopping, Community and Lifestyle. The firm has made notable investments in companies like Bonito Designs, Beyondskool, Easiloan Techno Solutions, and several other promising startups. Tomorrow Capital's strategic investments and support contribute to the development and expansion of these entrepreneurial ventures, driving their success and impact in the market."
Cardekho.com,Angel Investor,Umang Kumar,Co-founder at Cardekho.com,,https://www.linkedin.com/in/umang-kumar-a4768b2/,,$3M - $6M,"Edtech, SaaS, Consumer","Growthschool, Gokwik, Vama","As the CEO of Gaadi Web Pvt. Ltd., I bring a decade of experience in the internet startup ecosystem, working with leading media houses, and even having a background as a coder. With a passion for the online space, I have provided consultancy services to some of the largest internet ventures in India. My journey started with a focus on media and sales strategy, but I discovered my true calling as a sales professional. Over the past five years, I have utilized my unique blend of skills to successfully build and grow multiple online businesses. With a strong foundation in technology and a strategic sales approach, I continue to drive the success of Gaadi Web Pvt. Ltd. and contribute to the dynamic world of internet entrepreneurship."
Unacademy,Angel Investor,Roman Saini,Co-Founder at Unacademy,,https://www.linkedin.com/in/romansaini/,,,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media","Ultrahuman, Trea, Turnip, Plum","Roman Saini is a Co-Founder of Unacademy, an online learning platform that offers high-quality education to individuals. Alongside his role at Unacademy, Roman is also an IAS officer in the Indian Administrative Service, serving the Government of India. Prior to his entrepreneurial journey, he worked as a Junior Resident at AIIMS. With a dedicated team, Roman is committed to providing accessible and top-notch education to people, making a significant impact in the field of online learning."
Unitus,VC (Tier 3),Rhea Sthalekar,Associate at Unitus,http://unitus.vc/,https://www.linkedin.com/in/rhea-sthalekar-981a0b48/,https://www.google.co.in/,$3M - $6M,"Fintech, SaaS, HealthTech, Edtech","Masai, Salesken, Addresshealth, Supermoney, Milaap, Wify","Unitus Ventures, the leading venture fund in India, has an impressive portfolio of early-stage tech startups that demonstrate the potential for scale in India and global emerging markets. Some notable companies in their portfolio include Masai, Salesken, Supermoney, Milaap, and Wify. These startups span across various sectors, showcasing the diverse range of industries Unitus Ventures invests in. By supporting these innovative companies, Unitus Ventures aims to drive economic growth, create employment opportunities, and foster technological advancements in India and beyond. With their expertise and resources, Unitus Ventures plays a pivotal role in empowering these startups to reach their full potential and make a meaningful impact in their respective markets. Their initial investments are usually between $300k to $1M."
Better,Angel Investor,Vaibhav Domkundwar,Founder & CEO at Better,,https://www.linkedin.com/in/better/,,,"Fintech, Edtech, SaaS, Mobility, Media","Turnip, Locale, Hyperface, Phyllo","Vaibhav Domkundwar, a seasoned entrepreneur with an impressive track record, proudly founded two highly successful companies - Roamware and Better. Known for his prowess in growth hacking, Vaibhav has masterfully curated a diverse portfolio comprising over 35 seed investments, which has yielded both successful exits and significant Series A/B milestones, showcasing his adeptness in selecting promising startups."
"Seed Finance, India",Angel Investor,Vaibhav Karnavat,"Partner at Seed Finance, India",,https://www.linkedin.com/in/vaibhavkarnavat23307388/,,,"AI/ML, Fintech, SaaS, Consumer","Daalchini, The health company, Hoopr","Vaibhav Karnavat holds an impressive array of roles and titles that reflect his multifaceted engagement across various sectors. He serves as a Partner at seedfinance, Itreat Grocers LLP, and Karnavat & Co. His extensive involvements also extend to his role as the CEO of Jewelex International Pvt. Ltd. Beyond his professional responsibilities, he's known as an angel investor and an ardent lifelong learner, embodying a diverse range of interests. As a Partner at seedfinance, Vaibhav Karnavat plays a pivotal role in shaping investment strategies and fostering growth for startups and emerging ventures. His involvement extends to Itreat Grocers LLP, where his expertise contributes to the company's endeavors in the food and grocery sector. Additionally, his role as a Partner at Karnavat & Co. underscores his engagement in the realm of finance and advisory services. At the helm of Jewelex International Pvt. Ltd., Vaibhav Karnavat takes on the role of CEO, steering the direction of the company within the jewelry industry. His leadership in this role exemplifies his ability to drive businesses forward and navigate complex industry landscapes."
Honasa Consumer Pvt Ltd,Angel Investor,Varun Alagh,CoFounder at Honasa Consumer Pvt Ltd,,https://www.linkedin.com/in/varunalagh84/?ref=ynos.in,https://twitter.com/varunalagh?ref=ynos.in,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Digital Entertainment, Media","Vama, Wyld, Mokobara, Supertails","Varun, a graduate from Delhi College of Engineering (DCE) and holder of an MBA from XLRI Jamshedpur, is currently spearheading the creation of an array of honest, natural, and safe products under his venture Honasa. The maiden offering from this venture is mamaearth, the first MadeSafe certified brand in Asia, aimed at alleviating parenting stress by offering secure and natural product alternatives. In his most recent role, Varun successfully managed one of the world's most esteemed brands, CocaCola, along with its Diets and Lights portfolio across India and South West Asia, including Bangladesh, Nepal, and Sri Lanka. Prior to this role, he played a pivotal role at Diageo Plc, where he held the reins of managing the Indian operations of Smirnoff, the world's leading spirits brand. In these capacities, Varun was entrusted with the task of driving both the topline and bottomline growth of the brand, overseeing strategies across AboveTheLine (ATL), BelowTheLine (BTL), digital platforms, and trade channels. In his earlier marketing role with Unilever, Varun was responsible for steering innovation and communication strategies for Rexona & Sure deodorants across the entire South Asia region. Before making his foray into marketing at Unilever, Varun spent a productive three years in sales at HUL, expertly managing a region with a valuation of 800 crore. This encompassed a diverse spectrum of over 20 categories spanning home care, personal care, and foods. Varun adeptly led a formidable team of over 500 individuals, out of which 35 were HUL employees, while the rest were under thirdparty employment. His remarkable performance resulted in consistent recognition as one of the top managers at HUL for two consecutive years. Throughout his academic journey, Varun capitalized on the opportunity to collaborate with esteemed corporations like Colgate Palmolive, Havells Electric, Madura Garments, Maruti, and Nokia through internships and live projects, significantly enriching his learning curve."
Veda VC,Angel Investor,Vasant Rao,Managing partner at Veda VC,,https://www.linkedin.com/in/vasant-rao-93403667,,-,"Edtech, Consumer","EloElo, Growthschool, Rezo.ai","Vasant Rao is a visionary Angel Investor hailing from Alappuzha. With a strong interest in areas such as Community and Lifestyle, Edu-Tech, and AI and ML, he has made strategic investments in startups like Growthschool, Rezo.Ai, and Eloelo. As an enthusiastic supporter of innovative ideas, Vasant's investments have contributed to the growth and success of these promising ventures. His commitment to fostering new and transformative technologies reflects his passion for driving positive change in the startup landscape."
Veda VC,VC,Jivesh Madan,Investment Associate at Veda VC,https://www.veda.vc/,https://www.linkedin.com/in/jiveshmadan/,,$250k - $1.5M,"AI/ML, Fintech, Edtech, Mobility, Consumer","Satsure, Rezo.ai, Redesyn","Veda VC is a venture capital firm that is sector agnostic, but with a keen interest in Enterprise SaaS, Consumer Internet, Deep Tech, and the Creator Economy. The firm invests anywhere from Pre-Seed to Series A, with ticket sizes ranging from $250K to $1.5M. Veda VC is run by a group of entrepreneurs turned investors, who have built, scaled, and exited successful ventures in the past. As an operator, Veda works closely with portfolio companies to help them scale effectively. Founded in 2019 by Vasant Rao, Avijeet Alagathi, and Venus Dhuria, Veda VC has a team of experienced investment professionals with a deep understanding of the startup ecosystem. The firm has a strong network of contacts in the startup community, which they leverage to help their portfolio companies succeed. Veda VC is committed to providing their portfolio companies with the resources and support they need to scale effectively. Veda VC's investment strategy is to identify and back high-potential startups that have the potential to make a significant impact in their respective industries. The firm looks for startups that are led by strong teams with a clear vision for the future. Veda VC also seeks out startups that are operating in markets with large addressable audiences. In addition to providing capital, Veda VC also offers its portfolio companies access to a wide range of resources and support. This includes access to the firm's network of contacts, as well as mentorship and advice from the firm's investment team. Veda VC also provides its portfolio companies with access to its proprietary deal sourcing platform, which helps them identify and connect with potential investors. Their average investment size is around $250k - $1.5M."
